prompt_index,prompt,model_name,difficulty,category,tech_stack,module_tags
1,"src/services/activityService.ts中的register函数使用db.transaction处理报名，但存在并发Bug：当多个用户同时报名同一活动时，current_participants的读取和更新不是原子操作，可能导致超额报名。请使用SQLite的INSERT OR IGNORE配合activity_registrations表的UNIQUE(activity_id, user_id)约束来保证幂等性，并在事务中通过检查报名后current_participants是否超过max_participants来决定是否提交事务",gpt-5.4,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
1,"src/services/activityService.ts中的register函数使用db.transaction处理报名，但存在并发Bug：当多个用户同时报名同一活动时，current_participants的读取和更新不是原子操作，可能导致超额报名。请使用SQLite的INSERT OR IGNORE配合activity_registrations表的UNIQUE(activity_id, user_id)约束来保证幂等性，并在事务中通过检查报名后current_participants是否超过max_participants来决定是否提交事务",gemini-3.1-p,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
1,"src/services/activityService.ts中的register函数使用db.transaction处理报名，但存在并发Bug：当多个用户同时报名同一活动时，current_participants的读取和更新不是原子操作，可能导致超额报名。请使用SQLite的INSERT OR IGNORE配合activity_registrations表的UNIQUE(activity_id, user_id)约束来保证幂等性，并在事务中通过检查报名后current_participants是否超过max_participants来决定是否提交事务",DeepSeek-V4-Pro,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
1,"src/services/activityService.ts中的register函数使用db.transaction处理报名，但存在并发Bug：当多个用户同时报名同一活动时，current_participants的读取和更新不是原子操作，可能导致超额报名。请使用SQLite的INSERT OR IGNORE配合activity_registrations表的UNIQUE(activity_id, user_id)约束来保证幂等性，并在事务中通过检查报名后current_participants是否超过max_participants来决定是否提交事务",Doubao-Seed-2.0-Code,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
1,"src/services/activityService.ts中的register函数使用db.transaction处理报名，但存在并发Bug：当多个用户同时报名同一活动时，current_participants的读取和更新不是原子操作，可能导致超额报名。请使用SQLite的INSERT OR IGNORE配合activity_registrations表的UNIQUE(activity_id, user_id)约束来保证幂等性，并在事务中通过检查报名后current_participants是否超过max_participants来决定是否提交事务",GLM-5.1,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
2,src/services/volunteerService.ts的signup函数与activityService.register存在相同的并发问题。此外，cancelSignup函数在减少current_volunteers后未检查是否应将状态从closed恢复为open。请同时修复这两个Bug：并发安全报名+取消报名后自动重新开放志愿者班次,gpt-5.4,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
2,src/services/volunteerService.ts的signup函数与activityService.register存在相同的并发问题。此外，cancelSignup函数在减少current_volunteers后未检查是否应将状态从closed恢复为open。请同时修复这两个Bug：并发安全报名+取消报名后自动重新开放志愿者班次,gemini-3.1-p,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
2,src/services/volunteerService.ts的signup函数与activityService.register存在相同的并发问题。此外，cancelSignup函数在减少current_volunteers后未检查是否应将状态从closed恢复为open。请同时修复这两个Bug：并发安全报名+取消报名后自动重新开放志愿者班次,DeepSeek-V4-Pro,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
2,src/services/volunteerService.ts的signup函数与activityService.register存在相同的并发问题。此外，cancelSignup函数在减少current_volunteers后未检查是否应将状态从closed恢复为open。请同时修复这两个Bug：并发安全报名+取消报名后自动重新开放志愿者班次,Doubao-Seed-2.0-Code,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
2,src/services/volunteerService.ts的signup函数与activityService.register存在相同的并发问题。此外，cancelSignup函数在减少current_volunteers后未检查是否应将状态从closed恢复为open。请同时修复这两个Bug：并发安全报名+取消报名后自动重新开放志愿者班次,Qwen3.6-Plus,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
3,重构src/services/complaintService.ts，当前reply函数直接将状态设为resolved，但业务规则应为：管理员回复后状态变为processing，居民确认后变为resolved。请新增confirmComplaint函数（路由POST /complaints/:id/confirm），实现两阶段关闭：reply→processing，confirm→resolved。需要修改complaint model新增confirmed_at字段，修改complaints/detail.ejs添加确认按钮（仅提交者可见）,gpt-5.4,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
3,重构src/services/complaintService.ts，当前reply函数直接将状态设为resolved，但业务规则应为：管理员回复后状态变为processing，居民确认后变为resolved。请新增confirmComplaint函数（路由POST /complaints/:id/confirm），实现两阶段关闭：reply→processing，confirm→resolved。需要修改complaint model新增confirmed_at字段，修改complaints/detail.ejs添加确认按钮（仅提交者可见）,gemini-3.1-p,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
3,重构src/services/complaintService.ts，当前reply函数直接将状态设为resolved，但业务规则应为：管理员回复后状态变为processing，居民确认后变为resolved。请新增confirmComplaint函数（路由POST /complaints/:id/confirm），实现两阶段关闭：reply→processing，confirm→resolved。需要修改complaint model新增confirmed_at字段，修改complaints/detail.ejs添加确认按钮（仅提交者可见）,DeepSeek-V4-Pro,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
3,重构src/services/complaintService.ts，当前reply函数直接将状态设为resolved，但业务规则应为：管理员回复后状态变为processing，居民确认后变为resolved。请新增confirmComplaint函数（路由POST /complaints/:id/confirm），实现两阶段关闭：reply→processing，confirm→resolved。需要修改complaint model新增confirmed_at字段，修改complaints/detail.ejs添加确认按钮（仅提交者可见）,Doubao-Seed-2.0-Code,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
3,重构src/services/complaintService.ts，当前reply函数直接将状态设为resolved，但业务规则应为：管理员回复后状态变为processing，居民确认后变为resolved。请新增confirmComplaint函数（路由POST /complaints/:id/confirm），实现两阶段关闭：reply→processing，confirm→resolved。需要修改complaint model新增confirmed_at字段，修改complaints/detail.ejs添加确认按钮（仅提交者可见）,GLM-5.1,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
4,"在助餐模块中实现周菜单规划功能：新增weekly_menus表（id, week_start_date, day_of_week, meal_type, menu_items JSON），在src/routes/meals.ts中新增GET /meals/weekly-plan和POST /meals/weekly-plan路由。管理员可以按周设置每天的菜品（从内置菜单选择），居民在订餐时只能选择当周菜单中已配置的菜品。需要修改mealService新增getWeeklyMenu和saveWeeklyMenu方法",gpt-5.4,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
4,"在助餐模块中实现周菜单规划功能：新增weekly_menus表（id, week_start_date, day_of_week, meal_type, menu_items JSON），在src/routes/meals.ts中新增GET /meals/weekly-plan和POST /meals/weekly-plan路由。管理员可以按周设置每天的菜品（从内置菜单选择），居民在订餐时只能选择当周菜单中已配置的菜品。需要修改mealService新增getWeeklyMenu和saveWeeklyMenu方法",gemini-3.1-p,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
4,"在助餐模块中实现周菜单规划功能：新增weekly_menus表（id, week_start_date, day_of_week, meal_type, menu_items JSON），在src/routes/meals.ts中新增GET /meals/weekly-plan和POST /meals/weekly-plan路由。管理员可以按周设置每天的菜品（从内置菜单选择），居民在订餐时只能选择当周菜单中已配置的菜品。需要修改mealService新增getWeeklyMenu和saveWeeklyMenu方法",DeepSeek-V4-Pro,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
4,"在助餐模块中实现周菜单规划功能：新增weekly_menus表（id, week_start_date, day_of_week, meal_type, menu_items JSON），在src/routes/meals.ts中新增GET /meals/weekly-plan和POST /meals/weekly-plan路由。管理员可以按周设置每天的菜品（从内置菜单选择），居民在订餐时只能选择当周菜单中已配置的菜品。需要修改mealService新增getWeeklyMenu和saveWeeklyMenu方法",Doubao-Seed-2.0-Code,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
4,"在助餐模块中实现周菜单规划功能：新增weekly_menus表（id, week_start_date, day_of_week, meal_type, menu_items JSON），在src/routes/meals.ts中新增GET /meals/weekly-plan和POST /meals/weekly-plan路由。管理员可以按周设置每天的菜品（从内置菜单选择），居民在订餐时只能选择当周菜单中已配置的菜品。需要修改mealService新增getWeeklyMenu和saveWeeklyMenu方法",Qwen3.6-Plus,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
5,为src/services/activityService.ts编写集成测试：测试报名-满员-取消-重新开放的完整流程。使用内存SQLite，模拟5人上限的活动：5人报名后状态变为closed，1人取消后状态恢复为open，第6人可以报名。验证每个步骤后current_participants和status的正确性,gpt-5.4,困难,测试,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
5,为src/services/activityService.ts编写集成测试：测试报名-满员-取消-重新开放的完整流程。使用内存SQLite，模拟5人上限的活动：5人报名后状态变为closed，1人取消后状态恢复为open，第6人可以报名。验证每个步骤后current_participants和status的正确性,gemini-3.1-p,困难,测试,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
5,为src/services/activityService.ts编写集成测试：测试报名-满员-取消-重新开放的完整流程。使用内存SQLite，模拟5人上限的活动：5人报名后状态变为closed，1人取消后状态恢复为open，第6人可以报名。验证每个步骤后current_participants和status的正确性,DeepSeek-V4-Pro,困难,测试,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
5,为src/services/activityService.ts编写集成测试：测试报名-满员-取消-重新开放的完整流程。使用内存SQLite，模拟5人上限的活动：5人报名后状态变为closed，1人取消后状态恢复为open，第6人可以报名。验证每个步骤后current_participants和status的正确性,Doubao-Seed-2.0-Code,困难,测试,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
5,为src/services/activityService.ts编写集成测试：测试报名-满员-取消-重新开放的完整流程。使用内存SQLite，模拟5人上限的活动：5人报名后状态变为closed，1人取消后状态恢复为open，第6人可以报名。验证每个步骤后current_participants和status的正确性,GLM-5.1,困难,测试,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
6,"当前项目的session存储在内存中，服务重启后所有用户需重新登录。请将session存储改为SQLite（使用connect-sqlite3），配置session表名为sessions，设置过期时间为7天。同时添加一个定时清理过期session的机制：在server.ts启动时每24小时执行一次DELETE FROM sessions WHERE expired < strftime(""%s"",""now"")",gpt-5.4,困难,DevOps / 工程化,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
6,"当前项目的session存储在内存中，服务重启后所有用户需重新登录。请将session存储改为SQLite（使用connect-sqlite3），配置session表名为sessions，设置过期时间为7天。同时添加一个定时清理过期session的机制：在server.ts启动时每24小时执行一次DELETE FROM sessions WHERE expired < strftime(""%s"",""now"")",gemini-3.1-p,困难,DevOps / 工程化,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
6,"当前项目的session存储在内存中，服务重启后所有用户需重新登录。请将session存储改为SQLite（使用connect-sqlite3），配置session表名为sessions，设置过期时间为7天。同时添加一个定时清理过期session的机制：在server.ts启动时每24小时执行一次DELETE FROM sessions WHERE expired < strftime(""%s"",""now"")",DeepSeek-V4-Pro,困难,DevOps / 工程化,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
6,"当前项目的session存储在内存中，服务重启后所有用户需重新登录。请将session存储改为SQLite（使用connect-sqlite3），配置session表名为sessions，设置过期时间为7天。同时添加一个定时清理过期session的机制：在server.ts启动时每24小时执行一次DELETE FROM sessions WHERE expired < strftime(""%s"",""now"")",Doubao-Seed-2.0-Code,困难,DevOps / 工程化,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
6,"当前项目的session存储在内存中，服务重启后所有用户需重新登录。请将session存储改为SQLite（使用connect-sqlite3），配置session表名为sessions，设置过期时间为7天。同时添加一个定时清理过期session的机制：在server.ts启动时每24小时执行一次DELETE FROM sessions WHERE expired < strftime(""%s"",""now"")",Qwen3.6-Plus,困难,DevOps / 工程化,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
7,"在src/services/exchangeService.ts中新增智能推荐功能：当用户发布闲置物品时，根据物品的category和condition_level，从available状态的物品中推荐可能感兴趣的交换对象（同类别优先，其次相近成色）。需要新增getItemRecommendations方法，在exchanges/create.ejs中添加""推荐交换""区域展示匹配结果",gpt-5.4,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
7,"在src/services/exchangeService.ts中新增智能推荐功能：当用户发布闲置物品时，根据物品的category和condition_level，从available状态的物品中推荐可能感兴趣的交换对象（同类别优先，其次相近成色）。需要新增getItemRecommendations方法，在exchanges/create.ejs中添加""推荐交换""区域展示匹配结果",gemini-3.1-p,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
7,"在src/services/exchangeService.ts中新增智能推荐功能：当用户发布闲置物品时，根据物品的category和condition_level，从available状态的物品中推荐可能感兴趣的交换对象（同类别优先，其次相近成色）。需要新增getItemRecommendations方法，在exchanges/create.ejs中添加""推荐交换""区域展示匹配结果",DeepSeek-V4-Pro,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
7,"在src/services/exchangeService.ts中新增智能推荐功能：当用户发布闲置物品时，根据物品的category和condition_level，从available状态的物品中推荐可能感兴趣的交换对象（同类别优先，其次相近成色）。需要新增getItemRecommendations方法，在exchanges/create.ejs中添加""推荐交换""区域展示匹配结果",Doubao-Seed-2.0-Code,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
7,"在src/services/exchangeService.ts中新增智能推荐功能：当用户发布闲置物品时，根据物品的category和condition_level，从available状态的物品中推荐可能感兴趣的交换对象（同类别优先，其次相近成色）。需要新增getItemRecommendations方法，在exchanges/create.ejs中添加""推荐交换""区域展示匹配结果",GLM-5.1,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","社区服务,活动管理,助餐预约,闲置置换,志愿者,诉求"
